mN/GeV	c tau (meters) for Umu = 1
0.1	383.6166379078997
0.10131254692562633	359.4021057119752
0.10264232164557235	336.7160487926027
0.1039895502827228	315.46198525018633
0.10535446192793131	295.54952350784407
0.10673728867897654	276.8939777755531
0.10813826568002934	259.4159948296565
0.10955763116163819	243.04115285358992
0.1109956264812393	227.69959390439735
0.11245249616419847	213.32572358250715
0.11392848794539173	199.85795746294204
0.11542385281133152	187.23849883574175
0.1169388450428461	175.41313712388924
0.11847372225831888	164.33105992761986
0.12002874545749555	153.94467421871713
0.12160417906586572	144.20943401926087
0.12320029097962787	135.08367313972101
0.12481735261124366	126.52844237194924
0.1264556389355907	118.50735104929109
0.12811542853672092	110.9864131868636
0.12979700365523264	103.93389856612124
0.13150065023626448	97.32018916346358
0.1332266579781192	91.11764140985451
0.1349753203815257	85.300454413072
0.1367469347995477	77.48243282322031
0.1385418024881474	66.88240757169397
0.14036022865741288	55.877355835403755
0.14220252252345783	45.916461927476334
0.14406899736100254	37.53915232710021
0.14595997055664506	30.751261952922466
0.1478757636628314	25.340032589450292
0.1498167024525343	21.044701021954207
0.1517831169746498	17.626911329046642
0.15377534161012038	14.89099662349164
0.15579371512879533	12.68377907650171
0.1578385807470374	10.887815669363109
0.15991028618608485	9.413719248767858
0.1620091837311806	8.193457960112038
0.16413563029147651	7.17504449629766
0.16628998746072468	6.318502852091996
0.16847262157876478	5.592864083180992
0.17068390379381893	4.97394489573624
0.1729242101256037	4.442706684586365
0.17519392152927094	3.98403970227876
0.17749342396018752	3.5858576515066374
0.17982310843956587	3.2384191330662953
0.1821833711209551	2.9338155112375786
0.1845746133576056	2.66558152056871
0.1869972417707175	2.4283969766553377
0.18945166831858506	2.2178565738055
0.19193831036664843	2.0302909305345502
0.194457590758465	1.8626264860287616
0.19700993788761226	1.7122750599564616
0.19959578577053444	1.577046219636885
0.20221557412034527	1.4550773031082396
0.20486974842159944	1.3447772022783986
0.2075587600060456	1.2447809290479177
0.21028306612937306	1.1539127111358694
0.2130431300489669	1.0711557958953477
0.21583942110268264	0.9956268818614588
0.21867241478865562	0.9265554933725132
0.2215425928461569	0.8632682223617809
0.22445044333751205	0.8051749747013792
0.22739646073109315	0.7517572157444388
0.23038114598540224	0.7025580167926079
0.23340500663425628	0.6571736299832395
0.23646855687309218	0.6152463457714704
0.23957231764640283	0.5764584237546044
0.24271681673632242	0.5405269219096465
0.2459025888523731	0.46412556978992403
0.24913017572239052	0.40233033096917614
0.25240012618464214	0.3583724080175091
0.2557129962811556	0.322628951969469
0.2590693493522709	0.29235016177544537
0.26246975613243423	0.2661715857102278
0.26591479484724945	0.24325124842536425
0.2694050513118026	0.22300589227918796
0.2729411190302776	0.20500282762656097
0.27652359929687964	0.18890674480070457
0.2801531012980821	0.1744500222540739
0.2838302422162168	0.16141453507791162
0.2875556473344235	0.14961970196472033
0.2913299501429763	0.138914201682956
0.29515379244700674	0.1291699927239157
0.2990278244756394	0.12027785630200122
0.3029527049925617	0.11214399060353707
0.30692910140804336	0.1046873559244081
0.31095768989242706	0.09783757143346065
0.3150391554911087	0.09153322661776749
0.3191741922410265	0.08572051045211068
0.32336350328867863	0.08035208791555948
0.3276078010096919	0.07538617156151296
0.3319078071299565	0.07078574895729758
0.3362642528483545	0.06651793545344571
0.34067787896109597	0.0625534290382002
0.3451494359876887	0.05886604872062002
0.3496796842985617	0.05543234180434836
0.3542693942443623	0.052231248314423245
0.3589193462869517	0.049243813101655556
0.3636303311321192	0.04645293792121462
0.36840314986403866	0.04384316718277389
0.3732386140814896	0.041400502185647454
0.3781375460358665	0.03911223954808572
0.3831007787709991	0.03696683026353785
0.3881291562648084	0.034953756404806
0.39322353357282136	0.033063422977639007
0.3983847769735707	0.031287062820087155
0.4036137641159006	0.029616652769740535
0.40891138416820844	0.028044839591031427
0.4142785379696444	0.02656487437956874
0.41971613818329456	0.025170554348297992
0.4252251094513769	0.02385617105779961
0.4308063885524723	0.022616464285604397
0.4364609245608194	0.021446580841330217
0.4421896790077028	0.020342037729246018
0.4479936260449553	0.01929868914040522
0.45387375261061014	0.01831269682510042
0.45983105859672563	0.017380503455007017
0.4658665570194118	0.016498808634587064
0.4719812741910913	0.01566454726443391
0.47817624989501856	0.01487486999634868
0.4844525375620908	0.014127125551954113
0.49081120444998066	0.013418844704339608
0.49725333182461845	0.012747725746224823
0.5037800151440569	0.012111621288966897
0.5103923642447501	0.011508526254870801
0.517091503530276	0.010936566941074272
0.5238785721625376	0.010393991047092592
0.5307547242554721	0.00987915857019914
0.5377211290713038	0.009390533483419405
0.5447789712193724	0.008926676120645495
0.5519294508575707	0.008486013163677497
0.5591737838964281	0.008066316495808305
0.5665132022058691	0.007666572716974142
0.5739489538246894	0.007285947750315
0.5814823031727799	0.006923624323328044
0.5891145312661352	0.006578804620330506
0.5968469359346869	0.006250712364296288
0.6046808320429926	0.005934660798643839
0.6126175517138244	0.0056327975874292235
0.6206584445546917	0.005347310603111972
0.6288048778873342	0.005076371941962676
0.6370582369802328	0.0048190863937996814
0.6454199252841663	0.004574726350772564
0.6538913646708632	0.004342634957377102
0.6624739956747866	0.0041221993733197805
0.67116927773809	0.003912840691487547
0.6799786894587896	0.003714009265597405
0.6889037288421951	0.003525182130276244
0.6979459135556384	0.003345861323157669
0.7071067811865475	0.003175572624249518
0.7163878895039065	0.003013864498054295
0.7257908167231498	0.002860307138525513
0.7353171617745274	0.002714491569257554
0.7449685445750016	0.0025760287764478762
0.7547466063037043	0.002444548864642431
0.7646530096810125	0.0023197002315291813
